Mural Registration ID,Artist Credit,Artwork Title,Media,Year Installed,Year Restored,Location Description,Street Address,Zip,Ward,Community Area Number,Affiliated (or Commissioning) Organization,Description of Artwork,Latitude,Longitude,Location
19001,Kerry James Marshall,Rush More,Painting,2017,,"Chicago Cultural Center, West Façade",78 East Washington St,60602,42,38,DCASE,"This large-scale mural on the Chicago Cultural Center building is the culmination the city’s Year of Public Art. Made by internationally renowned Artist Kerry James Marshall, the 132 x 100-foot mural—the largest artwork he has ever designed or created—honors 20 women who have shaped the city’s vibrant arts and cultural landscape. In explaining his choice of women, Kerry James Marshall said, “In the history of monuments you have very few that represent women, but in the history of Chicago you have very many women that played key roles in establishing culture here. . . . My idea was to make a Forest Rushmore acknowledging the contribution of 20 women who’ve worked to shape the cultural landscape of the city, past and present.” The mural, executed by Artist Jeff Zimmerman, consists of trees as totems decorated by the women’s faces on the bottom. Up above are the park-like treetops, birds, a yellow-and-blue sun, and a ribbon that floats throughout the mural. 

The cross-cultural, multi-generational list of women include (left to right) actress and cofounder of Dearborn Homes Youth Drama Workshop Cheryl Lynn Bruce; founder of Chicago Children’s Theatre Jacqueline Russell; former Chicago First lady and founder of After School Matters Maggie Daley; founder of the DuSable Museum of African American History Margaret Burroughs; founder of Little Black Pearl Monica Haslip; television host and producer Oprah Winfrey; poet Gwendolyn Brooks; former Chicago cultural affairs commissioner Lois Weisberg; actress/writer, and cofounder of Collaboraction theater, Sandra Delgado; journalist and writer Achy Obejas; founder of eta Creative Arts Foundation Abena Joan Brown; Poetry magazine founder Harriet Monroe; founder of Black Ensemble Theater Jackie Taylor; founder and Artistic director of Chicago Shakespeare Theater Barbara Gaines; former director of the Renaissance Society Suzanne Ghez; dancer and president of Muntu Dance Theatre of Chicago Joan Gray; dancer, choreographer, and founder of Ruth Page Center for the Arts Ruth Page; writer Sandra Ciseneros; Artist and cofounder of the AfricCobra  collective Barbara Jones-Hogu; Janes Saks, founder of Project & and the Ellen stone Belic Institute for the study of Women and Gender in the Arts and Media.

The mural is funded by Murals of Acceptance, whose goal is to bring art to all people in a free public setting.",41.88333428,-87.62505014,POINT (-87.62505014 41.88333428000001)
19089,Jasmine Petersen,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,,Division St between Western Ave and California Ave,2500 West Division St,60622,26,25,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",41.90310194,-87.68955175,POINT (-87.68955175 41.903101940000006)
19171,Jill Arena and Cyd Smillie,End of Watch,Paint,2011,,West facing wall of Montrose retaining wall,4700 W Montrose Ave,60641,45,15,,"In 2011 Arts Alive Chicago was contacted with a request to paint a mural to honor an officer killed in the line of duty. When seeking permission from then Alderman John Arena we were instructed to honor all the officers who died in the line of duty. Jill Arena designed the mural with all 540+ names, Cyd Smillies led the paint team with some community volunteers. The bagpipe dedication included 16th and 17th district officers and commanders, families of fallen officers, and dignitaries. Officers and families were invited to fill in the badge numbers of their fallen loved ones. This mural features an officer saluting and grieving woman with the image of officer Flisk in her tear.",41.96086102,-87.74516953,POINT (-87.74516953 41.96086102)
19116,Steven Carrelli,Armitage Ghost Mural,Paint,2017,,Wall bordering Armitage Avenue Brown Line exit on south side of Armitage Ave,939 West Armitage Ave,60614,43,68,,Armitage Ghost Mural evokes the architectural identity of the Armitage-Halsted Landmark District. Its materials and design reference the neighborhood’s history as one of Chicago’s first-generation commercial districts.,41.91800819,-87.65246197,POINT (-87.65246197 41.91800819)
19218,John Vergara,Legends,paint,2018,,east side of building,3501 W. Pierce Avenue,60651,26,23,Piece Memorial Mural - Word Dealers,"The memorial wall is celebrating the life and contributions of four Puerto Rican, artists, poets, activist and trail blazers in the arts and literary world.  The homage to these poets, artist and activist is to bring to the public an awareness of their artistic legacy and give them recognition for their journey in using the spoken word and brush to paint with pride and dignity so future generations will stand strong and be proud of their cultural ties.  Featured from left to right Legend pioneers, Salima Rivera (1946-2004) David Hernandez (1946-2013) Gamaliel Ramirez (1949-2018) and Julia De Burgos (1914-1953) - The wall features black and white images of these Puerto Ricans with excerpts of their poetry in proximity of their image along with shadow images of icons relevant to their character.  The span of the background of the mural is of the Puerto Rican Flag.  Assistant Artist � John Pitman Weber, Patricia Perez and Alisa Scott",41.90898862,-87.71444623,POINT (-87.71444623 41.90898862)
19309,Justus Roe,South Shore,Acrylic and exterior latex paint,2013,2018,South fa�ade 7152 S Exchange Ave,7152 S Exchange Ave,60649,7,43,,abstract landscape painting,41.76470569,-87.56555082,POINT (-87.56555082 41.76470569)
19121,Miriam Socoloff and Cynthia Weiss,Fabric of Our Lives,,1980,,,3003 West Touhy Ave,60645,50,20,Chicago Public Art Group,"Artists Miriam Socoloff and Cynthia Weiss. 1980. Located at the Bernard Horwich Jewish Community Center, this ceramic and glass tile mosaic represents Jewish history in Chicago, a theme long neglected in Chicago's many historical murals. From 1980 )",42.01185028,-87.70464009,POINT (-87.70464009 42.01185028)
19248,Frank Quintero,Home in Uptown,paint,2019,,,1140 Wilson Avenue,60640,46,03,,,41.96548895,-87.6591587,POINT (-87.6591587 41.96548895000001)
19270,Marry Tonnu,Letter U,,2019,,,1516 W Cortland Street,60642,2,,22,,41.91664982,-87.66608117,POINT (-87.66608117 41.91664982)
19203,Shinique Smith,I Am Love,Paint,2017,,,1600 S. State Street,60616,3,33,Wabash Arts Corridor,(Photo Credit: Sandra Steinbrecher),41.8601185,-87.62740831,POINT (-87.62740831 41.8601185)
19011,Mitchell Caton and William Walker,The Wall of Daydreaming and Man's Inhumanity to Man,,1975,,S Calumet Ave & E 47th ST,328 East 47th St,60653,3,4,Chicago Public Art Group,"Artist Mitchell Caton. 1975. The Wall of Daydreaming (fully titled The Wall of Daydreaming and Man's Inhumanity to Man) was meant to express the people's needs, social ills, and community grievances. From 1975",41.80946567,-87.61831493,POINT (-87.61831493 41.80946567)
19057,Chris Silva,,spray,2016,,Fence,2730 Karlov,60623,22,,Yollocalli Arts Reach,students of Chris Silva took the lead on this colorful fence project in La Villita in summer 2016.,41.841405,-87.727103,POINT (-87.727103 41.841405)
19143,Tony Passero and Arts Alive Chicago,Feather Run,,2017,,Merrimac Park,6343 West Irving Park Road,60634,38,17,DCASE,"Installed by Arts Alive Chicago from an original design painted by Tony Passero, Feather Run depicts two vibrant peacocks meeting in the center of a field of abstract symbols. It can be found on the east elevation of the Merrimac Park fieldhouse.",41.95281566,-87.78582729,POINT (-87.78582729 41.95281566)
19341,Brett Whitacre,Ode to the Messenger,,2020,,The Bachelor Garage Door,4610 N Clifton Ave,60640,46,3,,,41.96614,-87.65903,POINT (-87.65903 41.96614)
19175,Jacob Watts,Moose Bubblegum Bubble,Paint,2014,,,33 E. Congress,60605,4,32,Wabash Arts Corridor,"�Street art and graffiti are no longer strictly defined as vandalism and deserves to be recognized as a valid and important art genre,� said Shepard Fairey, artist and curator of�The Provocateurs. �It challenges the notion that public space should be dominated by advertising and government signage. Columbia College and the City of Chicago have enthusiastically supported our outdoor mural project.�",41.87557316,-87.62637611,POINT (-87.62637611 41.87557316)
19186,Don't Fret,Gift To The Class of 2016,Paint,2016,,,1152 S. Wabash,60605,4,32,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) Don�t Fret is a Chicago native and Columbia College alum and his practice includes drawing, painting, sculpture, performance and installation-based work both on the street and in the gallery space.",41.86769438,-87.62597903,POINT (-87.62597903 41.86769438)
19025,Albert Zeno,Alewives 1972/2009,,1972,2009,55th & S Lake Park,5506 South Lake Park Ave,60637,5,8,Chicago Public Art Group,Original Artist: Albert Zeno. 2009 Artist: Damon Lamar Reed,41.79493407,-87.58773626,POINT (-87.58773626 41.79493407)
19289,Barrett Keithley,Intergallactic Lovers or nah�,Spray Paint,2017,,Sullivan Center Alley,25 E Monroe St,60603,42,,Chicago Loop Alliance,Can you have a person embody the universal truth of love or nah� This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.,41.88066939,-87.62680815,POINT (-87.62680815 41.88066939000001)
19302,CERA,calmness & serenity,,2018,,Candace M Leitheiser,"1103 N. Ashland Ave, Chicago IL 60622",60622,2,24,,fa�ade mural,41.90162687,-87.66730041,POINT (-87.66730041 41.90162687)
19321,Justus Roe,Devils Mile,Acrylic and exterior latex paint,2016,2018,North fa�ade of 1023 s. State building,1023 S. State st,60605,4,32,,abstract landscape painting,41.86939111,-87.62732369,POINT (-87.62732369 41.86939111)
19038,"Port
Ministries with
Gloria ""Gloe""�
Talamantes",We Grow Here Too,Painting,2017,,Viaduct at Garfield Boulevard and Wallace St,Garfield Boulevard and Wallace St,60609,20,,DCASE,"When scouting the location for her mural with Port Ministries, Artist Gloria Talamantes thought about the homeowners who refused buyouts for the Norfolk Southern railroad freight yard expansion in Englewood. Believing in the healing properties of flowers, she has incorporated flowers to surround people as they walk and ride by the mural.",41.794471,-87.640385,POINT (-87.64038500000001 41.794471)
19026,Marcus Akinlana and Olivia Gude,"Where There Is Discord, Harmony:The Power of Art",,1991,,,1801 East 71st st,60649,7,39,Chicago Public Art Group,"Completed 1991. Artists Marcus Akinlana and Olivia Gude. This incerdible mural involved the entire community in its design: community members were invited to contribute ideas, images and poems. The mural is a combination of language and images, including poems from five local poets. From 1991",41.76591555,-87.58119192,POINT (-87.58119192 41.76591555)
19258,Marry Tonnu,Letter I,,2019,,,1720 N Elston Ave,60642,2,,24,,41.91357484,-87.66444475,POINT (-87.66444475 41.91357484)
19053,Pop Up Mural Shop,Bonita Finca de Adobe,,2014,,Tony's Fashion,3645 West 26th St,60623,22,32,Yollocalli Arts Reach,"Yollocalli youth interns, the Pop Up Mural Shop,  painted ""Bonita Finca de Adobe"" in the summer of 2014.",41.84425035,-87.71652732,POINT (-87.71652732000001 41.84425035)
19015,Rahmann Statik,HPKO Project: Instinctive Movements,,2008,,47th and Lake Park Viaduct,4700 South Lake Park Ave,60615,4,5,Chicago Public Art Group,"2008. Artist Rahmann Statik. This acrylic and spray paint mural spans the 47th and Lake Park viaduct in Hyde Park. It was created to show an evolution of community, color, and nature.",41.80953478,-87.59245022,POINT (-87.59245022 41.80953478)
19185,Dmnology,Stars & Styles,Paint,2016,,,618 S. Wabash,60605,4,32,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) DMNOLOGY or �DMN� the graffiti sorcerer, hails from the city of Chicago. He embarked on his artistic journey at an early age in the inner city neighborhoods, spray painting his nom de plume �Demon� on the walls and elevated trains of Chicago. Although, he prefers to call it the �Wild Onion� style in reference to the indigenous name of Chicago. His style ranges from abstract to illustrative.",41.87398405,-87.62613334,POINT (-87.62613334 41.87398405)
19271,Marry Tonnu,Letter V,,2019,,,1427 W Willow Street,60642,2,,24,,41.9142878,-87.66281791,POINT (-87.66281791 41.9142878)
19111,Sam Kirk and Sandra Antongiorgi,I Am Logan Square,Paint,2017,,Kedzie Ave and Milwaukee Ave,2639 North Milwaukee Ave,60647,35,23,DCASE,"To create I Am Logan Square, Kirk and fellow Artists Sandra Antongiorgi and Jenny Q worked to understand what was important to community members. The large, vibrant mural asks residents to remember the past and consider the people and systems that create and define communities",41.92979861,-87.70837014,POINT (-87.70837014 41.92979861)
19126,Green Star Movement,We Are One,,2018,,Viaduct at 79th Street and Kedzie Ave,3141 West 79th St,60652,18,69,DCASE,"Green Star Movement responded to the 18th Ward’s request for a mural design that would connect the neighborhoods that make up the Ward. Chicago is divided into 50 wards, whose boundaries change as a result of the federal census to give equal representation based on population. Wards sometimes contain multiple neighborhoods, since neighborhood boundaries do not shift. Located in the center of the Ward, the mosaic wraps around the Metra viaduct walls at a busy intersection and the names of five neighborhoods—Auburn Gresham, Ashburn, Chicago Lawn, Scottsdale, Wrightwood—span across it. The mosaic also seeks to showcase the diversity in the area, make the viaduct more pedestrian friendly, and highlight that many ward residents are civil servants, including police and fire fighters.",41.74963234,-87.70153712,POINT (-87.70153712 41.74963234)
19345,E. LEE,Looming Large,,2020,,The Bachelor (Apartments),1140 W Wilson Ave,60640,46,3,,,41.9655,-87.65906,POINT (-87.65906 41.9655)
19197,Andrea Dunn,Peacock,Paint,2016,,,623 S. Wabash,60605,42,32,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) Andrea Dunn is the winner of the 2016 People�s Choice mural. While working on this project Dunn stated, � The peacock is a symbol of allowing myself to be free and explore abstract shapes, but in a contained space.�-  as quoted in Sandra",41.87390846,-87.62583771,POINT (-87.62583771 41.87390846)
19158,Tara McPherson,,Paint,2018,,Cards Against Humanity HQ,1551 W Homer Street,60642,2,22,Cards Against Humanity HQ,"Tara McPherson is an artist based in New York. Creating art about people and their odd ways, her characters seem to exude an idealized innocence with a glimpse of hard earned wisdom in their eyes. Her portraits explore the realms of our psychological states via myths, legends, astronomy, physics, nature, love, loss, childhood and good old life experience. Giving us a peek into the complexities of the human psyche through her otherwordly characters.",41.91720864,-87.66683738,POINT (-87.66683738 41.91720864)
19190,Marina Zumi,Impossible Meeting,Paint,2016,,,901 S. Michigan,60605,4,32,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) Marina Zumi is most associated with the early street art scene and her work with one of the formative groups �Expression Sessions� in Buenos Aires. Zumi came to street art from a fashion design background which has contributed to the development of a unique style that is colorful and feminine.

While working on this project Zumi stated,  �My motivation comes in my daily life. I try to reflect human behavior through natural and animal scenes� �  as quoted in Sandra Steinbrecher�s Wabash Arts Corridor / Big Walls / 2016",41.8705633,-87.62399297,POINT (-87.62399297000002 41.8705633)
19021,"Burroughs, Evans, Himmelfarb, & Jones",Hyde Park Art Panels,,2009,,South Shore between 53rd and 55th St,5300 South Shore Dr,60615,5,,Chicago Public Art Group,"Artists: Burroughs, Evans, Himmelfarb, & Jones. 2009. CPAG oversaw the production and installation of 18 large format digital prints from the four Artists. The panels are located at the underpasses of 53rd and 55th in Hyde Park. The picture below is of two panels by Artist Margaret Burroughs. From 2009",,,
19047,Chema Skandal,Together We Fly Higher,Spray + Brush,2017,,Lázaro Cardenas Elementary School,2406 South Central Park Ave,60623,22,32,Yollocalli Arts Reach,This mural was created by Yollocalli Public Art interns with Chema Skandal For Cardenas School in the summer of 2017.,41.84777119,-87.71503378,POINT (-87.71503378 41.84777119)
19094,Missy Rosa,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,,Division St between Western Ave and California Ave,2517 West Division St,60622,26,25,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",41.90287692,-87.69018293,POINT (-87.69018293000002 41.90287692)
19285,Reco The Great and Barrett Keithley,King's Ranson,Satin Paint and Spray Paint,2019,,,330 N MacChesney Court,60601,42,,Chicago Loop Alliance,"King's Ransom is about the multiplicity of an individual's personality. The joker, the squire, and the king are within us all. It's up to us to know when to use which character in the right situation. The king can be hostage to other parts of his own character. This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.",41.88761537,-87.62530112,POINT (-87.62530112 41.88761537)
19326,Justus Roe,South Old Irving,Acrylic and exterior latex paint,2019,,Garage,3928 W Cornelia Ave,60618,30,21,,abstract landscape painting,41.94468083,-87.72606579,POINT (-87.72606579000002 41.94468083)
19153,Greve,,Paint,2018,,Cards Against Humanity HQ,1551 W Homer Street,60642,2,22,Cards Against Humanity HQ,"A visual artist and Chicago native, Greve began writing graffiti in the early 90�s at the age of 13. Spray paint is the medium that he is most familiar and comfortable, along with acrylics, generally for more detailed works.",41.91720864,-87.66683738,POINT (-87.66683738 41.91720864)
19229,Laura Berger,,paint,2011,,,2045 W Concord Pl,60647,2,24,,,41.91127477,-87.67928033,POINT (-87.67928033 41.91127477)
19290,Dwight White,Lost in Now,Spray Paint,2017,,Sullivan Center Alley,25 E Monroe St,60603,42,,Chicago Loop Alliance,"A hidden treasure in the heart of the city. Created to capture the idea that as long as one of them is focused on their love, it won't be lost. Sometimes focus is in a meditation state and other times it's all about setting eyes on what's to be built in the future. This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.",41.88066939,-87.62680815,POINT (-87.62680815 41.88066939000001)
19058,"Gloria ""GLOE"" Talamantes",Temple of Bloom,Spray,2016,,Los Globos,3059 South Central Park Ave,60623,22,32,Yollocalli Arts Reach,"Created in the summer of 2016, this spray painted mural was a collaboration with students and lead Artist GLO.",41.83714877,-87.71444789,POINT (-87.71444789 41.83714877)
19317,Justus Roe,16th & Halsted,Acrylic and exterior latex paint,2015,2019,North west corner embankment of 16th st. and Halsted,808 w. 16th st.,60608,25,28,,abstract landscape painting,41.86001454,-87.64710553,POINT (-87.64710553 41.86001454)
19079,"Ricardo Martinez, FEDZ, Thomas, Axel",Alley Wall Project,spray,2014,,"Giordano's Pizza, alley",1401 W 18th St,60608,25,33,Yollocalli Arts Reach,"Thanks to Alderman Solis and his Art in Public Spaces Initiative, Yollocalli Youth have been able to create works of art in the alley by our 1401 W 18th street building.",41.85776469,-87.66138509,POINT (-87.66138509 41.85776469)
19262,Marry Tonnu,Letter M,,2019,,,1324 W Concord Place,60642,2,,24,,41.91240433,-87.66153051,POINT (-87.66153051 41.91240433)
19030,"Cyd Smillie with
Arts Alive Chicago",In Service,Painting,2018,,Wallace Street Viaduct,4000 South Wallace St,60609,11,59,DCASE,,41.82168669,-87.64116028,POINT (-87.64116028 41.82168669)
19217,David Heo,Paradise Unlost,paint,2018,,Missio Dei Chicago,1242 W Addison Street,60613,44,06,Missio Dei Chicago,"This 26 x 15 ft. outdoor mural located in the Lakeview neighborhood in Chicago was executed with the intent to kindle a sense of vibrancy, to beautify a seemingly ordinary neighborhood and to re-emulate the subliminal affects from nature, spirit and empathy. (from artist)",41.94723011,-87.66086909,POINT (-87.66086909 41.94723011)
19165,Cyd Smillie,What We Create,Paint,2017,,West facing wall of liquor store,1813 W 63rd Street,60636,15,67,,"""What we create"" was funded in part thru an IAP grant from DCASE. It features what women do from house care and child care to creation to keeping dreams. The faces of the women are the faces of women in the community and Elizabeth Catlett on the far right. This mural was painted in part by the campers of I Grow Chicago.",41.77926508,-87.66967833,POINT (-87.66967833 41.77926508)
19180,Kashink,Be The Change You Want To See,Paint,2015,,,801 S Wabash,60605,4,32,Wabash Arts Corridor,"French artist, Kashink, is known for painting large four-eyes characters, using bright colors and thick lines. She says she likes exploring the absurdity of social interactions through the theme of masks, the taboo of death and the various ways of dealing with it, especially in the Latino culture. Kashink is also known for wearing a mustache, much like the images she creates. Thanks to Chicago Truborn Gallery for curating this piece. �Be The Change� (above Kashnik�s piece) painted by Stuk One.",41.87177833,-87.62578912,POINT (-87.62578912 41.871778330000005)
19322,Justus Roe,Kinzie Train Depot,Acrylic and exterior latex paint,2017,2019,80% of the building running fomr 901-999 w. Kinzie / 372 n. Peoria,372 n. Peoria,60607,27,28,,abstract landscape painting,41.88849669,-87.65003207,POINT (-87.65003207 41.88849669)
19254,Marry Tonnu,Letter C,,2019,,,1400 W Wabansia Ave,60642,2,,24,,41.91361584,-87.66285163,POINT (-87.66285163 41.91361584)
19107,"Northwest
Arts
Connection with Erika Doyle",Jardin Kilbourn,Paint,2017,,Roscoe Ave at Kostner Ave,Roscoe Avenue at Kostner Ave,60641,30,,DCASE,"Part of the 30th Ward is a former industrial corridor that is becoming residential. The Artists who created these murals responded to the question, “What does urban renewal or urban evolution mean to this area?”",41.942618,-87.737338,POINT (-87.737338 41.942618)
19239,Steven Teller,An Ode to Eleanor (Youth),,2019,,,835 W Montrose Ave,60613,46,03,,,41.96171341,-87.65132053,POINT (-87.65132053 41.96171341)
19122,Jim Bachor,Meander,Mosaic Tiles,2018,,Metra Electric District Viaduct,938 East 87th St,60619,8,40,,"Jim Bachor covers the contemporary urban fabric with the ancient technique of mosaic. Known for filling potholes with glass-and-mortar in Meander the artist elongated his scale to the width of a viaduct. He ordered over 1,000 pounds of ceramic tile from Italy to be set in a 90-foot mosaic.
 
Cut and laid out in the artist’s studio, the intricate but simple design shows three tulips—orange, yellow, and red—with their stems undulating along the mosaic’s expanse. From a distance, the flowers seem to be blowing in the breeze against an abstracted, rolling landscape. Up close, the incredible variety of tones and craftsmanship is apparent. Tiles that make up the orange tulip, for instance, include subtle differences of beige, yellow, and brown. Whether seen strolling by on foot or witnessed at the speed of a moving car, Bachor’s Meander enlivens the sterile space of a viaduct underpass.
Jim Bachor covers the contemporary urban fabric with the ancient technique of mosaic. Known for filling potholes with glass-and-mortar in Meander the artist elongated his scale to the width of a viaduct. He ordered over 1,000 pounds of ceramic tile from Italy to be set in a 90-foot mosaic.
 
Cut and laid out in the artist’s studio, the intricate but simple design shows three tulips—orange, yellow, and red—with their stems undulating along the mosaic’s expanse. From a distance, the flowers seem to be blowing in the breeze against an abstracted, rolling landscape. Up close, the incredible variety of tones and craftsmanship is apparent. Tiles that make up the orange tulip, for instance, include subtle differences of beige, yellow, and brown. Whether seen strolling by on foot or witnessed at the speed of a moving car, Bachor’s Meander enlivens the sterile space of a viaduct underpass.",41.73681262,-87.60090571,POINT (-87.60090571 41.73681262)
19085,Sandra Antongiorgi,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,,Division street between Western Ave and California Ave,2547 West Division St,60622,26,25,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",41.9028643,-87.69141411,POINT (-87.69141411 41.9028643)
19148,Ed Paschke,"Luna Negra, 1998",Paint,2014,,Outside left wall of building,5415 W Higgins Ave,60630,45,11,Ed Paschke Art Center,,41.96872306,-87.76207536,POINT (-87.76207536 41.96872306)
19281,Michelle Lytle,The Essanay,,2019,,The Bachelor - FLATS,1140 Wilson Avenue,60640,46,,,,41.96548895,-87.6591587,POINT (-87.6591587 41.96548895000001)
19062,Spifster and Chris Silva,,Spray + brush,2018,,Garage (alley),2801 South Millard Ave,60623,22,32,Yollocalli Arts Reach,,41.84061275,-87.71576395,POINT (-87.71576395 41.84061275)
19222,Molly Z,Cultivating Harmony,paint,2017,,Green Element Resale,6241 N. Broadway,60660,40,77,Edgewater Chamber of Commerce,The Edgewater Chamger of Commerce and SSA #26 hired Molly Z to create a mural as part of its public art program. The program is meant to enhance the commercial corridors in Edgewater.,41.99577698,-87.66029505,POINT (-87.66029505 41.99577698)
19294,Peyton Stewart,Psychedelic Portal,Spray Paint,2019,,Couch Place Alley,170 N Dearborn St,60601,42,,Chicago Loop Alliance,Magical images for the magic of theatre. This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.,41.88514243,-87.62962434,POINT (-87.62962434 41.88514243)
19133,Concetta Morales,Positive Moves in the Game of Life,,1988,,,3942 West North Ave,60647,26,24,Chicago Public Art Group,"Completed 1988. Artist Concetta Morales. This mosaic mural is made of a mix of broken tile, marble, and pieces of baked clay. The mural represents, through a game board design, the challenges that today's teenagers face; challenges such as failure/success, peer pressure, and drugs. From 1988",41.91000631,-87.72560703,POINT (-87.72560703 41.91000631)
19090,Jenny Q.,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,,Division St between Western Ave and California Ave,2546 West Division St,60622,26,25,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",41.90308512,-87.69129673,POINT (-87.69129673 41.90308512)
